"codigo_ies_padre","Nivel de Formación","year","graduados","tipo","Metodología","desercion"
"2704","Técnica Profesional","2015",0,"graduados",NA,NA
"2704","Técnica Profesional","2016",0,"graduados",NA,NA
"2704","Técnica Profesional","2017",0,"graduados",NA,NA
"2704","Técnica Profesional","2018",0,"graduados",NA,NA
"2704","Técnica Profesional","2019",0,"graduados",NA,NA
"2704","Técnica Profesional","2020",0,"graduados",NA,NA
"2704","Técnica Profesional","2021",0,"graduados",NA,NA
"2704","Técnica Profesional","2022",0,"graduados",NA,NA
"2704","Técnica Profesional","2023",0,"graduados",NA,NA
"2704","Tecnológica","2013",0,"graduados",NA,NA
"2704","Tecnológica","2014",0,"graduados",NA,NA
"2704","Tecnológica","2015",0,"graduados",NA,NA
"2704","Tecnológica","2016",0,"graduados",NA,NA
"2704","Tecnológica","2017",0,"graduados",NA,NA
"2704","Tecnológica","2018",0,"graduados",NA,NA
"2704","Tecnológica","2019",0,"graduados",NA,NA
"2704","Tecnológica","2020",0,"graduados",NA,NA
"2704","Tecnológica","2021",0,"graduados",NA,NA
"2704","Tecnológica","2022",0,"graduados",NA,NA
"2704","Tecnológica","2023",0,"graduados",NA,NA
"2704","Universitaria","2013",150,"graduados",NA,NA
"2704","Universitaria","2014",152,"graduados",NA,NA
"2704","Universitaria","2015",133,"graduados",NA,NA
"2704","Universitaria","2016",170,"graduados",NA,NA
"2704","Universitaria","2017",216,"graduados",NA,NA
"2704","Universitaria","2018",245,"graduados",NA,NA
"2704","Universitaria","2019",255,"graduados",NA,NA
"2704","Universitaria","2020",210,"graduados",NA,NA
"2704","Universitaria","2021",216,"graduados",NA,NA
"2704","Universitaria","2022",240,"graduados",NA,NA
"2704","Universitaria","2023",185,"graduados",NA,NA
"2704","Especialización","2013",188,"graduados",NA,NA
"2704","Especialización","2014",185,"graduados",NA,NA
"2704","Especialización","2015",193,"graduados",NA,NA
"2704","Especialización","2016",173,"graduados",NA,NA
"2704","Especialización","2017",184,"graduados",NA,NA
"2704","Especialización","2018",158,"graduados",NA,NA
"2704","Especialización","2019",133,"graduados",NA,NA
"2704","Especialización","2020",112,"graduados",NA,NA
"2704","Especialización","2021",181,"graduados",NA,NA
"2704","Especialización","2022",164,"graduados",NA,NA
"2704","Especialización","2023",109,"graduados",NA,NA
"2704","Maestría","2013",48,"graduados",NA,NA
"2704","Maestría","2014",104,"graduados",NA,NA
"2704","Maestría","2015",132,"graduados",NA,NA
"2704","Maestría","2016",131,"graduados",NA,NA
"2704","Maestría","2017",120,"graduados",NA,NA
