"codigo_ies_padre","Año","tipo_contrato","cantidad","tipo","Nivel de formacion","dedicacion_sexo"
"3104",2019,"AD Honorem",NA,"tipo_contrato",NA,NA
"3104",2019,"Sin Información",NA,"tipo_contrato",NA,NA
"3104",2020,"Término Indefinido",26,"tipo_contrato",NA,NA
"3104",2020,"Término fijo",0,"tipo_contrato",NA,NA
"3104",2020,"Horas",107,"tipo_contrato",NA,NA
"3104",2020,"Ocasional",34,"tipo_contrato",NA,NA
"3104",2020,"AD Honorem",NA,"tipo_contrato",NA,NA
"3104",2020,"Sin Información",NA,"tipo_contrato",NA,NA
"3104",2021,"Término Indefinido",27,"tipo_contrato",NA,NA
"3104",2021,"Término fijo",0,"tipo_contrato",NA,NA
"3104",2021,"Horas",115,"tipo_contrato",NA,NA
"3104",2021,"Ocasional",33,"tipo_contrato",NA,NA
"3104",2021,"AD Honorem",NA,"tipo_contrato",NA,NA
"3104",2021,"Sin Información",NA,"tipo_contrato",NA,NA
"3104",2022,"Término Indefinido",26,"tipo_contrato",NA,NA
"3104",2022,"Término fijo",0,"tipo_contrato",NA,NA
"3104",2022,"Horas",123,"tipo_contrato",NA,NA
"3104",2022,"Ocasional",36,"tipo_contrato",NA,NA
"3104",2022,"AD Honorem",NA,"tipo_contrato",NA,NA
"3104",2022,"Sin Información",NA,"tipo_contrato",NA,NA
"3104",2023,"Término Indefinido",25,"tipo_contrato",NA,NA
"3104",2023,"Término fijo",2,"tipo_contrato",NA,NA
"3104",2023,"Horas",111,"tipo_contrato",NA,NA
"3104",2023,"Ocasional",43,"tipo_contrato",NA,NA
"3104",2023,"AD Honorem",NA,"tipo_contrato",NA,NA
"3104",2023,"Sin Información",NA,"tipo_contrato",NA,NA
"2208",2017,"Término Indefinido",NA,"tipo_contrato",NA,NA
"2208",2017,"Término fijo",18,"tipo_contrato",NA,NA
"2208",2017,"Horas",5,"tipo_contrato",NA,NA
"2208",2017,"Ocasional",0,"tipo_contrato",NA,NA
"2208",2017,"AD Honorem",NA,"tipo_contrato",NA,NA
"2208",2017,"Sin Información",NA,"tipo_contrato",NA,NA
